Fault Entry ID,Date of Fault,Equipment ID,System Type,Equipment Affected,Fault Description,Fault Code/Type,Symptoms Observed,Cause (If known),Resolution Action,Parts Replaced,Time to Resolve (hrs),Was This effective?,Tags for AI Matching,Equipment Table,Linked Entry Notes,Linked Training Topic,Last Modified Time,AI Suggested Action
8,2/22/2025 12:00am,,HVAC,Cooling Pump #1,Low Pressure - Blocked filter,N/A,Low Pressure,Blocked filter,Replaced filter,Seal,6.0,✅,"HVAC, Low Pressure, Blocked filter",,,,,
9,3/23/2025 12:00am,,HVAC,Cooling Pump #1,Overheat - Fan motor failure,N/A,Overheat,Fan motor failure,Replaced motor,Oil Cooler,1.0,✅,"HVAC, Overheat, Fan motor failure",,,,,
10,3/9/2025 12:00am,,HVAC,Cooling Pump #1,Noise - Bearing misalignment,N/A,Noise,Bearing misalignment,Adjusted alignment,Fan Motor,1.0,❌,"HVAC, Noise, Bearing misalignment",,,,,
11,4/13/2025 12:00am,,HVAC,Cooling Pump #1,Vibration - Pump cavitation,N/A,Vibration,Pump cavitation,Checked impeller,Fuse,4.0,❌,"HVAC, Vibration, Pump cavitation",,,,,
12,3/1/2025 12:00am,,HVAC,Cooling Pump #1,Leaking - Seal worn out,N/A,Seal degradation due to temperature variations,Seal degradation due to temperature variations,Replaced seal,Seal,4.0,✅,"HVAC, Leaking, Seal worn out",,,,,
13,5/2/2025 12:00am,,HVAC,Cooling Pump #2,Low Pressure - Blocked filter,N/A,Low Pressure,Blocked filter,Replaced filter,Fan Motor,7.0,✅,"HVAC, Low Pressure, Blocked filter",,,,,
14,2/19/2025 12:00am,,HVAC,Cooling Pump #2,Overheat - Fan motor failure,N/A,Overheat,Fan motor failure,Replaced motor,Filter,6.0,✅,"HVAC, Overheat, Fan motor failure",,,,,
15,4/26/2025 12:00am,,HVAC,Cooling Pump #2,Noise - Bearing misalignment,N/A,Noise,Bearing misalignment,Adjusted alignment,Oil Cooler,3.0,❌,"HVAC, Noise, Bearing misalignment",,,,,
16,2/19/2025 12:00am,,HVAC,Cooling Pump #2,Vibration - Pump cavitation,N/A,Vibration,Pump cavitation,Checked impeller,Valve,3.0,❌,"HVAC, Vibration, Pump cavitation",,,,,
17,2/28/2025 12:00am,,HVAC,Cooling Pump #2,Leaking - Seal worn out,N/A,Leaking,Seal worn out,Replaced seal,Fan Motor,3.0,✅,"HVAC, Leaking, Seal worn out",,,,,
18,4/9/2025 12:00am,,HVAC,Air Handler #1,Low Pressure - Blocked filter,N/A,Low Pressure,Blocked filter,Replaced filter,Oil Cooler,7.0,✅,"HVAC, Low Pressure, Blocked filter",,,,,
19,4/3/2025 12:00am,,HVAC,Air Handler #1,Overheat - Fan motor failure,N/A,Overheat,Fan motor failure,Replaced motor,Valve,4.0,✅,"HVAC, Overheat, Fan motor failure",,,,,
20,4/14/2025 12:00am,,HVAC,Air Handler #1,Noise - Bearing misalignment,N/A,Noise,Bearing misalignment,Adjusted alignment,Wiring,7.0,❌,"HVAC, Noise, Bearing misalignment",,,,,
21,3/18/2025 12:00am,,HVAC,Air Handler #1,Vibration - Pump cavitation,N/A,Vibration,Pump cavitation,Checked impeller,Fuse,7.0,❌,"HVAC, Vibration, Pump cavitation",,,,,
